Symbol,StockName,Sector,Currency
BEC.SI,BRC ASIA LIMITED ,Industrials,SGD
AWC.SI,BROOK CROMPTON HOLDINGS LTD. ,Industrials,SGD
5EB.SI,CFM HOLDINGS LIMITED ,Industrials,SGD
5QT.SI,CHARISMA ENERGY SERVICES LTD ,Industrials,SGD
5NV.SI,CHASEN HOLDINGS LIMITED ,Industrials,SGD
C50.SI,CHEUNG WOH TECHNOLOGIES LTD ,Industrials,SGD
C92.SI,CHINA HAIDA LTD. ,Industrials,SGD
GU5.SI,CHINA KUNDA TECH HOLDINGS LTD ,Industrials,SGD
5CJ.SI,CHINESE GLOBAL INVESTORS GRP ,Industrials,USD
C29.SI,CHIP ENG SENG CORPORATION LTD ,Industrials,SGD
CEE.SI,CITIC ENVIROTECH LTD. ,Industrials,SGD
5FH.SI,CITICODE LTD. ,Industrials,SGD
P9D.SI,CIVMEC LIMITED ,Industrials,AUD
5GC.SI,CNA GROUP LTD. ,Industrials,USD
567.SI,COLEX HOLDINGS LIMITED ,Industrials,SGD
C52.SI,COMFORTDELGRO CORPORATION LTD ,Industrials,SGD
F83.SI,COSCO SHIPPING INTL,Industrials,SGD
CIN.SI,COURAGE INVESTMENT GRP LIMITED ,Industrials,SGD
C06.SI,CSC HOLDINGS LTD ,Industrials,SGD
BLR.SI,DARCO WATER TECHNOLOGIES LTD ,Industrials,SGD
D11.SI,DESIGN STUDIO GROUP LTD. ,Industrials,SGD
KUX.SI,DLF HOLDINGS LIMITED ,Industrials,SGD
CZ4.SI,DUTECH HOLDINGS LIMITED ,Industrials,CNY
5CT.SI,ECOWISE HOLDINGS LIMITED ,Industrials,SGD
42Z.SI,EINDEC CORPORATION LIMITED ,Industrials,SGD
R14.SI,ENECO ENERGY LIMITED ,Industrials,SGD
5RC.SI,ES GROUP ,Industrials,SGD
5TJ.SI,FAR EAST GROUP LIMITED ,Industrials,SGD
BDU.SI,FEDERAL INT (2000) LTD ,Industrials,SGD
5F4.SI,FIGTREE HOLDINGS LIMITED ,Industrials,SGD
E28.SI,FRENCKEN GROUP LIMITED ,Industrials,SGD
F13.SI,FU YU CORPORATION LTD ,Industrials,SGD
508.SI,FUJI OFFSET PLATES MFG LTD ,Industrials,SGD
5KT.SI,FUJIAN ZHENYUN PLAS IND CO LTD ,Industrials,USD
G41.SI,G. K. GOH HOLDINGS LIMITED ,Industrials,SGD
5VP.SI,GDS GLOBAL LIMITED ,Industrials,SGD
595.SI,GKE CORPORATION LIMITED ,Industrials,SGD
G50.SI,GRAND BANKS YACHTS LIMITED ,Industrials,SGD
JLB.SI,GRAND VENTURE TECHNOLOGY LTD ,Industrials,SGD
Y06.SI,GREEN BUILD TECHNOLOGY LIMITED ,Industrials,SGD
43A.SI,GS HOLDINGS LIMITED ,Industrials,SGD
5VS.SI,HAFARY HOLDINGS LIMITED ,Industrials,SGD
5VJ.SI,HALCYON AGRI CORPORATION LTD ,Industrials,USD
40B.SI,HEALTHBANK HOLDINGS LIMITED ,Industrials,SGD
BTG.SI,HG METAL MANUFACTURING LTD ,Industrials,SGD
5PO.SI,HIAP TONG CORPORATION LTD. ,Industrials,SGD
J2T.SI,HOCK LIAN SENG HOLDINGS LTD ,Industrials,SGD
H20.SI,HOE LEONG CORPORATION LTD. ,Industrials,SGD
H22.SI,HONG LEONG ASIA LTD. ,Industrials,SGD
BBP.SI,HOR KEW CORPORATION LIMITED ,Industrials,SGD
CHZ.SI,HRNETGROUP LIMITED ,Industrials,SGD
KI3.SI,HU AN CABLE HOLDINGS LTD. ,Industrials,USD
41B.SI,HUATIONG GLOBAL LIMITED ,Industrials,SGD
P7VU.SI,HUTCHISON PORT HLDGS TRUST S$ ,Industrials,SGD
NS8U.SI,HUTCHISON PORT HOLDINGS TRUST ,Industrials,HKD
5I4.SI,ICP LTD ,Industrials,SGD
M14.SI,INNOTEK LIMITED ,Industrials,SGD
KUO.SI,INTERNATIONAL CEMENT GROUPLTD. ,Industrials,SGD
I06.SI,INTRACO LIMITED ,Industrials,SGD
I07.SI,ISDN HOLDINGS LIMITED ,Industrials,SGD
5WF.SI,ISOTEAM LTD. ,Industrials,SGD
J36.SI,JARDINE MATHESON HLDGS LTD ,Industrials,USD
J37.SI,JARDINE STRATEGIC HLDGS LTD ,Industrials,USD
5PF.SI,JASON MARINE GROUP LIMITED ,Industrials,SGD
VFP.SI,JCG INVESTMENT HOLDINGS LTD. ,Industrials,SGD
1J4.SI,JEP HOLDINGS LTD. ,Industrials,SGD
EG0.SI,JES INTERNATIONAL HOLDINGS LTD ,Industrials,USD
NHD.SI,JUBILEE INDUSTRIES HLDGS LTD ,Industrials,SGD
5TT.SI,KEONG HONG HOLDINGS LIMITED ,Industrials,SGD
BN4.SI,KEPPEL CORPORATION LIMITED ,Industrials,SGD
554.SI,KING WAN CORPORATION LIMITED ,Industrials,SGD
5MZ.SI,KINGSMEN CREATIVES LTD ,Industrials,SGD
504.SI,KLW HOLDINGS LTD ,Industrials,SGD
5HV.SI,KOH BROTHERS ECO ENGG LIMITED ,Industrials,SGD
K75.SI,KOH BROTHERS GROUP LIMITED ,Industrials,SGD
5DL.SI,KOON HOLDINGS LIMITED ,Industrials,SGD
5VC.SI,KORI HOLDINGS LIMITED ,Industrials,SGD
5OC.SI,KOYO INTERNATIONAL LIMITED ,Industrials,SGD
578.SI,KS ENERGY LIMITED ,Industrials,SGD
ER0.SI,KSH HOLDINGS LIMITED ,Industrials,SGD
EB7.SI,KTL GLOBAL LIMITED ,Industrials,SGD
LS9.SI,LEADER ENVIRONMENTAL TECH LTD ,Industrials,SGD
Q0X.SI,LEY CHOON GROUP HLDG LIMITED ,Industrials,SGD
L03.SI,LIAN BENG GROUP LTD ,Industrials,SGD
